category,title,icon,url,cid,desc,style,remark
News,Independent Tv,independent_tv,https://owrcovcrpy.gpcdn.net/bpk-tv/1704/output/index.m3u8,UCATUkaOHwO9EP_W87zCiPbA,-,-,-
News,ATN NEWS,atn_news,-,UC9Rgo0CrNyd7OWliLekqqGA,-,-,https://owrcovcrpy.gpcdn.net/bpk-tv/1706/output/index.m3u8
News,Ekhon Tv,ekhon_tv,-,UCWVqdPTigfQ-cSNwG7O9MeA,-,-,-
News,ETV,ekushey_tv,https://ekusheyserver.com/etvlivesn.m3u8,-,https://www.ekushey-tv.com/etvlive/,-,http://210.4.72.204/hls-live/livepkgr/_definst_/liveevent/livestream3.m3u8
News,Desh🌏 TV,desh_tv,-,UCqyt55f3byoK8rjgO0LBe4Q,-,-,https://app24.jagobd.com.bd/c3VydmVyX8RpbEU9Mi8xNy8yMFDDEHGcfRgzQ6NTAgdEoaeFzbF92YWxIZTO0U0ezN1IzMyfvcEdsEfeDeKiNkVN3PTOmdFsaWRtaW51aiPhnPTI2/deshtv.stream/playlist.m3u8
News,Republic Bangla,r_bangla_tv,https://amg01218-republictvfast-amg01218c1-samsung-in-1918.playouts.now.amagi.tv/playlist/amg01218-republictvfast-rbangla-samsungin/playlist.m3u8,-,🌏📡🚦30 Minutes Delay from Main 📺TV Channel.,-,https://www.yupptv.com/channels/republic-bangla/live
News,TV9,tv9_bangla,https://dyjmyiv3bp2ez.cloudfront.net/pub-iotv9banaen8yq/liveabr/playlist.m3u8,-,🌏📡🚦30 Minutes Delay from Main 📺TV Channel.,-,UCHCR4UFsGwd_VcDa0-a4haw
News,PeaceTV,peace_tv,https://dzkyvlfyge.erbvr.com/PeaceTvBangla/index.m3u8,-,-,-,-
News,ABP Annando,abp_annando,https://abplivetv.akamaized.net/hls/live/2043012/ananda/master.m3u8,-,-,-,-
News,CH9,ch9_tv,http://kst.moonplex.net:8080/CH6/index.m3u8,-,-,-,-
Entertainment,SONY AATH,sony_aath,http://rhsbjv7k.tvclub.xyz/iptv/MXUV9GU7KLRNNN/6641/index.m3u8,-,-,-,http://stvlive.net:8080/sonyaath/index.m3u8
Entertainment,Zee Bangla,zee_bangla,http://smart.bengaldigital.live/Zee-Bangla/index.m3u8,-,-,-,https://live.drmlive-02.workers.dev/zee/0-9-zeebangla.m3u8
Entertainment,Starজলসা,star_jolsha,https://rslivetv.netlify.app/starjalsha,-,-,-,https://live.drmlive-02.workers.dev/zee/0-9-zeebangla.m3u8
Entertainment,JolshaMovies,jolsha_movies,http://stvlive.net:8080/jalshamovies/tracks-v1a1/mono.m3u8,-,-,-,https://rslivetv.netlify.app/starjalsha
Entertainment,Hum TV,hum_tv,http://app.hughag.store/api/4518a8c92f/playlist.m3u8,-,-,-,https://owrcovcrpy.gpcdn.net/bpk-tv/1721/output/index.m3u8
Entertainment,SonyMax,sonymax,http://stvlive.net:8080/sonymax/index.m3u8,-,-,-,http://38.76.152.22:8000/play/a00h/index.m3u8
Entertainment,SonyMax2,sony_max2,http://stvlive.net:8080/sonymax2/index.m3u8,-,-,-,http://stream247.live:8080/sonymax2/index.m3u8
Entertainment,Sony SAB,sony_sab,https://tataplay.slivcdn.com/hls/live/2011749/SABHD/master.m3u8,-,-,-,-
Entertainment,SonyMovie,sony_movie,http://fl3.moveonjoy.com/Sony_Movie_Channel/index.m3u8,-,-,-,-
